time,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,ALB,BIH,MKD,MNE,NOR,SRB,CHE
2010-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 05:00:00,0.0,0.0,0.0,0.0,0.04534441633981568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 06:00:00,0.0,0.0,0.04645353040602883,0.0,0.1524441839523863,0.0,0.0,0.0,0.0,0.0,0.0,0.06988560920407426,0.0,0.0,0.003973042645033749,0.0,0.0,0.0,0.0,0.0,0.0,0.013147230948530764,0.0,0.0,0.0,0.0,0.0,0.006461732231107207,0.0015294814997361132,0.018217675994630256,0.0025597377903755873,0.0,0.012199666804068683,0.0
2010-01-01 07:00:00,0.02264832144701635,0.0,0.1331204133777772,0.010397506411036993,0.25897911622520725,0.010476536150276161,0.0,0.0013357517555852543,0.0,0.0,0.00137774407072889,0.1846640038895093,0.007303062368200825,0.0,0.045546338595462345,0.004951247556649833,0.010320508065056504,0.0,0.0,0.007598043415254238,0.0,0.05628617568339799,0.017650830957194597,0.014249755413804308,0.003833472871106465,0.0,0.0,0.044597131982378975,0.025307859962313203,0.09360256955850263,0.04022212815665311,0.0,0.07222526441542172,0.008461839229946377
2010-01-01 08:00:00,0.08819909740496736,0.02796644574940567,0.22699869789008878,0.03098309913852342,0.3709109688746868,0.05701496103210208,0.017053018780363433,0.021284026565699592,0.0014566721911048828,0.02050564813723366,0.03148721333550775,0.2867239063769045,0.030105415831306423,0.0,0.10491040488876753,0.03341611145803648,0.0423597616453309,0.02855487534526107,0.038648249364107795,0.039751230293038654,0.031039681250013638,0.09836023800083192,0.06447568721230515,0.06024898202400756,0.05677958700878679,0.003168277490325972,0.0049854972675518056,0.12125284387729568,0.047932240792235195,0.17560896970073334,0.07529350786258704,0.0,0.1296307970473549,0.061436000794865574
2010-01-01 09:00:00,0.15137353286764557,0.09221758532230288,0.29631989272758724,0.051327257345044695,0.4174978195091251,0.10749182374834075,0.06239393758055662,0.0416240128361129,0.0068282101160071105,0.06949141694821609,0.07767592047876397,0.3623051656716712,0.05939015084608052,0.02706510026759686,0.15365528627353886,0.0599474055788858,0.06487936667116966,0.06964128976749111,0.11453388055016725,0.0749379249302934,0.11621234700734052,0.13067881879114124,0.11620691493647355,0.10884976512480142,0.12380669447384261,0.011412225150638711,0.048792379710442126,0.21907416901951923,0.08356355966367676,0.25086971103444977,0.09928890858528493,0.005308151709700407,0.16609532793967896,0.11751963355144726
2010-01-01 10:00:00,0.19213346935818007,0.14726690564346243,0.3086380311439714,0.07553231511255919,0.40904962181023247,0.1309271275154896,0.09297322089214592,0.05882569626238139,0.010149536649414148,0.11575099753513969,0.10845983246548177,0.38899798417974685,0.07896780320567544,0.08791685568193641,0.18576634763736333,0.07727063770026825,0.07597543226015456,0.09618850147600067,0.1760837789504254,0.09227985032785997,0.20122594394300797,0.12908217287493381,0.14766759617503838,0.14060674511759833,0.18650994377468205,0.018479923305640834,0.09757119265858753,0.30847801578169415,0.1326125931766718,0.30760814292509336,0.13737723723565454,0.019001731586326457,0.16898708420958986,0.15414203758502487
2010-01-01 11:00:00,0.19287146598573018,0.1689315734678476,0.2784955362703005,0.08553255659325913,0.35465899081880436,0.12759509951760786,0.09801004659555344,0.051330377827232355,0.006321472814939739,0.1422895457596776,0.11262838716910456,0.36996688353003193,0.08688577155128202,0.14513754402048346,0.19484830733352884,0.06915178385143657,0.06625763368218125,0.09126477029407457,0.20156968802824543,0.08629417052570791,0.28324812301108204,0.10472492157996219,0.14817512423242693,0.14628873842391946,0.240666005293297,0.0182723869405675,0.12865266908227063,0.2966133373407742,0.14579974215273186,0.31007240030854555,0.15176188209837366,0.02478387759352869,0.15220950239046976,0.15369509875168788
