time,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,ALB,BIH,MKD,MNE,NOR,SRB,CHE
2010-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 05:00:00,0.0,0.0,0.0,0.0,0.05704472036758357,0.0,0.0,0.0,0.0,0.0,0.0,0.0011534733497159842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01 06:00:00,0.0,0.0,0.06318005041227762,0.0,0.2026832916304633,0.0,0.0,0.0,0.0,0.0,0.0,0.09688499916829334,0.0,0.0,0.005418500201992912,0.0,0.0,0.0,0.0,0.0,0.0,0.01691819262582321,0.0,0.0,0.0,0.0,0.0,0.007490857293173691,0.002006985944684087,0.02273073651781261,0.00310440283621283,0.0,0.016559007204110156,0.0
2010-01-01 07:00:00,0.02979960939304661,0.0,0.18942978471395064,0.011258479340694324,0.3581847070137912,0.012893524123352068,0.0,0.0021794232472915893,0.0,0.0,0.0017938390205582255,0.2757146931092832,0.007604294114064905,0.0,0.0629831466747107,0.00672919307994112,0.013359495363620012,0.0,0.0,0.008989077583730186,0.0,0.07193448704341047,0.020365547171110537,0.016284916124083,0.005466839609718461,0.0,0.0,0.04953608603599849,0.02961273094072073,0.11960452903265349,0.045429735413000966,0.0,0.0929072297942524,0.011531123552577564
2010-01-01 08:00:00,0.11831793137235798,0.037467621938661946,0.3440155462285315,0.032475481558864226,0.5361688950782314,0.06911266583485524,0.025424306956974847,0.02769120978052,0.0020146722183140156,0.02459861992555204,0.037629168248383936,0.44348506921769126,0.031428710516322275,0.0,0.14478511719585208,0.042212594775745245,0.052053976878392735,0.03362192458195363,0.05915406813447555,0.04650859626148419,0.0401053649652647,0.1256539833882871,0.07751366761911489,0.0703295368313449,0.08033554498408695,0.0046396060383448205,0.008208159014763855,0.1476787142004246,0.051604037340894214,0.23771542500235296,0.08484217013722986,0.0,0.17016691025925426,0.07798111937271829
2010-01-01 09:00:00,0.21161361979044124,0.13077209822850994,0.4607488914289578,0.05323758415079942,0.606126866766217,0.13556478936612637,0.09242529775664264,0.05476420716392186,0.008896738413510281,0.08762252562973227,0.09555742439602674,0.5605064958327075,0.06352690169066245,0.03938292808167188,0.2084080833232239,0.07778820464993284,0.07958765616718012,0.08049459377767886,0.18291266219671587,0.09047759116133215,0.1563434133592264,0.16579259668762447,0.14917842802185163,0.1313595012085382,0.17448887676128097,0.015608633634318518,0.07761082511384435,0.2909718080305324,0.09004666888160136,0.35269885535667256,0.11273010670915541,0.008512241867605883,0.21787268041306038,0.15069524221311728
2010-01-01 10:00:00,0.27077370089341973,0.22343024021158644,0.47833473431861184,0.0788816130616139,0.5956270537172116,0.165259729710635,0.14116706451938046,0.0825761246295325,0.013580633042566247,0.15280848375806816,0.13526908121703193,0.6003782780022526,0.08720430526991209,0.13118942090429508,0.2505539124438752,0.10480347390320459,0.09460627413403742,0.11015020820137815,0.2964914125319051,0.11126553631789002,0.2791635089102819,0.16030029617226693,0.19718869776990888,0.1728030177596078,0.25958153701227,0.024900351784007818,0.16036839402198796,0.44200758804498913,0.15212245668318342,0.4515716815641248,0.15841679241561188,0.03165342327176228,0.2154552448681791,0.19609003918441945
2010-01-01 11:00:00,0.26945661984909,0.25882641500078757,0.4320248245347936,0.09076941806537497,0.5219262076958872,0.1589870957146137,0.14688719048775845,0.07466076618600927,0.008630928831085651,0.190797305901724,0.13893993352579279,0.5769197632771619,0.09855210483668073,0.23060362383399102,0.26310733206543113,0.09671468184866432,0.08364750295401414,0.10090884337349203,0.3412369604352907,0.10323803001706301,0.4008506744140283,0.12765714987918902,0.2015599354900953,0.18078238290748974,0.33214505659627747,0.024449422075897096,0.21230538533653878,0.4251363722654664,0.17263571287524646,0.4698476257927356,0.1788900704001196,0.04245765388010391,0.19318898004216595,0.19126175992953462
