time,AUT,BEL,BGR,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,GRC,HUN,IRL,ITA,LVA,LTU,LUX,NLD,POL,PRT,ROU,SVK,SVN,ESP,SWE,GBR,ALB,BIH,MKD,MNE,NOR,SRB,CHE
2016-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 05:00:00,0.0,0.0,0.0,0.0,0.04447370952129619,0.0,0.0,0.0,0.0,0.0,0.0,0.0011025672058140635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01 06:00:00,0.0,0.0,0.1344110974956189,0.00285395848469522,0.16446462400347606,0.0,0.0,0.0,0.0,0.0,0.0,0.12046768146435147,0.007075574954356822,0.0,0.003610344225072867,0.0,0.0,0.0,0.0,0.0,0.0,0.07091452743984147,0.0031442491422752216,0.0,0.0,0.0,0.0,0.07431157297495686,0.012124236588211506,0.1227990601398056,0.03286956490132731,0.0,0.05821771660510978,0.0
2016-01-01 07:00:00,0.013434229106426917,0.0,0.22005923550776646,0.06615571150248226,0.2681715265275774,0.0069663976618390315,0.0,0.004839685277134683,0.0,0.002984310491937271,0.0,0.2170571692719841,0.0861559781775292,0.0,0.059550608272001496,0.01345807463311943,0.023015857707253992,0.0,0.0,0.04259562317928007,0.0,0.17071498742199182,0.07788290247627742,0.03138375303552918,0.0,0.0,0.0,0.1816720854745693,0.1258887027852881,0.21847616103130732,0.15869407938600869,0.0,0.1744580641209599,0.01274559772747899
2016-01-01 08:00:00,0.058378367046667316,0.00848394549912629,0.2780577423561382,0.12404602782594805,0.34960066456498884,0.03777573528264021,0.0,0.03649585004637987,0.004585361940132431,0.02845099031118216,0.018237677645312048,0.2877087971004624,0.13683004349932718,0.0,0.1373846299659629,0.05206130993875097,0.06639196628587286,0.005615162684260174,0.021877210035003633,0.0969605337711971,0.011657722564914262,0.22533610928987266,0.13160788173828367,0.08533515881964267,0.031043791496253262,0.0,0.0,0.24944589405845402,0.19131203725519477,0.2804138365714738,0.23267699200347775,0.0,0.23570559489834728,0.08617840639155565
2016-01-01 09:00:00,0.11092741406761637,0.030948150666103708,0.3316408178913306,0.16847856942358075,0.40598699819340617,0.0775507726140928,0.011352470419212266,0.05495381282609901,0.012145097624659028,0.06663081993753663,0.04711766468770155,0.34978658764415616,0.17100432310736047,0.0032764066094784247,0.19662343534659635,0.07158750415427294,0.08927223620071702,0.026873005209875088,0.06668374905367927,0.12564693438572405,0.05759105633206361,0.26796092651520187,0.16688184224237024,0.1316364237179397,0.092702199672233,0.00401638948110204,0.012751100743149717,0.3149704238692251,0.23608814150656895,0.34104542568670476,0.2916839078770213,0.001412486325875039,0.28498350218735424,0.15419308302456647
2016-01-01 10:00:00,0.16348221027614623,0.054696513226038704,0.3458812692634485,0.19719249012279122,0.4107556257184195,0.11095852048659205,0.02446483796233191,0.06640760951736195,0.014135564353076327,0.10757248765877211,0.07304255485115199,0.3745560542498209,0.18513864020297227,0.017771598709628033,0.23974128018421478,0.08040415793174843,0.09536838476490976,0.051564853583582135,0.09225510186362772,0.14185879506151092,0.1253449598591262,0.2797518387579768,0.1855127289646305,0.1761641512803023,0.15495475908534417,0.007270284085794069,0.032752339291524935,0.34428228321534254,0.2593449589915817,0.3654268069408689,0.32280228366552716,0.006910471322834676,0.30266479490765813,0.22046791718842537
2016-01-01 11:00:00,0.18929110747914685,0.07022256743842462,0.3123203747124008,0.19012633059335274,0.36177892104663417,0.12613426565619548,0.032935650824739114,0.05462325446849675,0.009170842635307071,0.13584556522241373,0.08589980006534176,0.3504942231463252,0.16740029549210872,0.025898985800740012,0.24986579629262556,0.0650905260125015,0.07906079077759395,0.06381412205184335,0.09699550095299721,0.12970346125394203,0.17138574836002907,0.2471465332286206,0.1709189701737421,0.20400581094963458,0.19750158148523575,0.007615712686673952,0.045270406634303595,0.32846467895057396,0.2326647661507339,0.34141686366630036,0.30516711306807076,0.01021775291703755,0.272112976788245,0.24533897599959856
